J      Ct			Cp
0	   0.126749     0.075074
0.1	   0.129772     0.072192
0.2	   0.128048     0.07463
0.3	   0.124317     0.077076
0.4	   0.118638     0.079215
0.5	   0.110333     0.080308
0.6	   0.098245     0.078472
0.7	   0.082815     0.073138
0.8	   0.066486     0.065075
0.9	   0.049143     0.054465
0.92   0.045659     0.051992
0.94   0.042155     0.049408
0.96   0.038621     0.046703
0.98   0.035086     0.043902
1	   0.031101     0.04127
1.02   0.027493     0.038238
1.04   0.023864     0.035089
1.06   0.020221     0.031829
1.08   0.016538     0.028431
1.1	   0.012834     0.024912
1.12   0.009211     0.021387
1.14   0.004932     0.018217
1.16   0.001187     0.014407
1.18   -0.002618    0.010432
1.2	   -0.006456    0.00632
1.22   -0.010238    0.002181

